time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-06 00:00:00+00:00,51202,160,987,470
2022-09-07 00:00:00+00:00,48668,161,918,470
2022-09-08 00:00:00+00:00,52404,187,983,475
2022-09-09 00:00:00+00:00,54150,161,759,385
2022-09-10 00:00:00+00:00,51500,148,157,109
2022-09-11 00:00:00+00:00,51079,148,218,114
2022-09-12 00:00:00+00:00,59151,157,756,411
2022-09-13 00:00:00+00:00,59489,165,930,447
2022-09-14 00:00:00+00:00,61556,180,824,452
2022-09-15 00:00:00+00:00,60870,168,916,482
2022-09-16 00:00:00+00:00,60180,165,707,393
2022-09-17 00:00:00+00:00,56322,145,237,140
2022-09-18 00:00:00+00:00,56074,156,215,148
2022-09-19 00:00:00+00:00,56599,170,921,416
