time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-15 00:00:00+00:00,67236,495,974,306
2022-05-16 00:00:00+00:00,66139,530,3100,916
2022-05-17 00:00:00+00:00,65842,523,2911,957
2022-05-18 00:00:00+00:00,66858,560,3332,1016
2022-05-19 00:00:00+00:00,65843,583,3106,929
2022-05-20 00:00:00+00:00,64951,533,2809,884
2022-05-21 00:00:00+00:00,64174,487,698,237
2022-05-22 00:00:00+00:00,64128,497,837,273
2022-05-23 00:00:00+00:00,64335,560,2381,732
2022-05-24 00:00:00+00:00,65490,590,2896,801
2022-05-25 00:00:00+00:00,59026,582,2398,683
2022-05-26 00:00:00+00:00,48554,553,1849,560
2022-05-27 00:00:00+00:00,48640,565,1867,506
2022-05-28 00:00:00+00:00,44716,482,688,180
